~id,~label,name
"ator_Gianfrancesco_Guarnieri","Ator","Gianfrancesco Guarnieri"
"ator_Gilda_Cruz","Ator","Gilda Cruz"
"ator_Henriqueta_Brieba","Ator","Henriqueta Brieba"
"ator_Ins_Galvo","Ator","Inês Galvão"
"ator_Jaconias_Silva","Ator","Jaconias Silva"
"ator_Jacqueline_Laurence","Ator","Jacqueline Laurence"
"ator_Jeanine_Moreno","Ator","Jeanine Moreno"
"ator_Joana_Fomm","Ator","Joana Fomm"
"ator_Joo_Rebello","Ator","João Rebello"
"ator_Jos_Sacramento","Ator","José Sacramento"
"ator_Leina_Krespi","Ator","Leina Krespi"
"ator_Lcia_Magna","Ator","Lícia Magna"
"ator_Louise_Cardoso","Ator","Louise Cardoso"
"ator_Luis_Carlos_Arutim","Ator","Luis Carlos Arutim"
"ator_Luiza_Brunet","Ator","Luiza Brunet"
"ator_Luiz_Fernando_Guimares","Ator","Luiz Fernando Guimarães"
"ator_Malik_dos_Santos","Ator","Malik dos Santos"
"ator_Marco_Antonio_Campos","Ator","Marco Antonio Campos"
"ator_Marcos_Frota","Ator","Marcos Frota"
"ator_Maria_Helena_Pader","Ator","Maria Helena Pader"
"ator_Mrio_Lago","Ator","Mário Lago"
"ator_Maurcio_Mattar","Ator","Maurício Mattar"
"ator_Milton_Carneiro","Ator","Milton Carneiro"
"ator_Milton_Gonalves","Ator","Milton Gonçalves"
"ator_Moacyr_Deriqum","Ator","Moacyr Deriquém"
"ator_Monica_Feij","Ator","Monica Feijó"
"ator_Monique_Evans","Ator","Monique Evans"
"ator_Nan","Ator","Naná"
"ator_Natlia_do_Vale","Ator","Natália do Vale"
"ator_Oswaldo_Loureiro","Ator","Oswaldo Loureiro"
"ator_Paulo_Csar_Grande","Ator","Paulo César Grande"
"ator_Paulo_Esposito","Ator","Paulo Esposito"
"ator_Paulo_Guarnieri","Ator","Paulo Guarnieri"
"ator_Regina_Cas","Ator","Regina Casé"
"ator_Renato_Coutinho","Ator","Renato Coutinho"
"ator_Ricardo_Hermanny","Ator","Ricardo Hermanny"
"ator_Roberto_Bomfim","Ator","Roberto Bomfim"
"ator_Rogrio_Fres","Ator","Rogério Fróes"
"ator_Rmulo_Arantes","Ator","Rômulo Arantes"
"ator_Rosamaria_Murtinho","Ator","Rosamaria Murtinho"
"ator_Rosemary","Ator","Rosemary"
"ator_Ruth_de_Souza","Ator","Ruth de Souza"
"ator_Sergio_Mox","Ator","Sergio Mox"
"ator_Silvio_de_Abreu","Ator","Silvio de Abreu"
"ator_Suzana_Vieira","Ator","Suzana Vieira"
"ator_Wilson_Grey","Ator","Wilson Grey"
"ator_Wilza_Carla","Ator","Wilza Carla"
"ator_Yara_Amaral","Ator","Yara Amaral"
"ator_Zeca_Bezerra","Ator","Zeca Bezerra"
"ator_Zez_Macedo","Ator","Zezé Macedo"
"ator_Adriana_Alves","Ator","Adriana Alves"
"ator_Alessandra_Negrini","Ator","Alessandra Negrini"
"ator_Alexandre_Borges","Ator","Alexandre Borges"
"ator_Alexandre_Morenno","Ator","Alexandre Morenno"
"ator_Aline_Borges","Ator","Aline Borges"
"ator_Ana_Beatriz_Nogueira","Ator","Ana Beatriz Nogueira"
"ator_Ana_Paula_Arsio","Ator","Ana Paula Arósio"
"ator_Ana_Paula_Botelho","Ator","Ana Paula Botelho"
"ator_Andr_Barros","Ator","André Barros"
"ator_Bruno_Cariati","Ator","Bruno Cariati"
"ator_Bruno_Ferrari","Ator","Bruno Ferrari"
"ator_Bruno_Gagliasso","Ator","Bruno Gagliasso"
"ator_Bruno_Giordano","Ator","Bruno Giordano"
"ator_Carla_Faour","Ator","Carla Faour"
"ator_Carlos_Evelyn","Ator","Carlos Evelyn"
"ator_Carlos_Seidl","Ator","Carlos Seidl"
"ator_Cssio_Pandolfi","Ator","Cássio Pandolfi"
"ator_Ccil_Thir","Ator","Cécil Thiré"
"ator_Chico_Diaz","Ator","Chico Diaz"
"ator_Clarice_Niskier","Ator","Clarice Niskier"
"ator_Cludia_Abreu","Ator","Cláudia Abreu"
"ator_Cludio_Jaborandy","Ator","Cláudio Jaborandy"
"ator_Cristina_Amadeo","Ator","Cristina Amadeo"
"ator_Daniel_Dantas","Ator","Daniel Dantas"
"ator_Dbora_Lamm","Ator","Débora Lamm"
"ator_Deborah_Evelyn","Ator","Deborah Evelyn"
"ator_Deborah_Secco","Ator","Deborah Secco"
"ator_Dennis_Carvalho","Ator","Dennis Carvalho"
"ator_Douglas_Simon","Ator","Douglas Simon"
"ator_Eunice_Silva","Ator","Eunice Silva"
"ator_Fbio_Arajo","Ator","Fábio Araújo"
"ator_Fbio_Assuno","Ator","Fábio Assunção"
"ator_Fernando_Paganote","Ator","Fernando Paganote"
"ator_Giuliano_Candiago","Ator","Giuliano Candiago"
"ator_Gracindo_Jnior","Ator","Gracindo Júnior"
"ator_Henri_Castelli","Ator","Henri Castelli"
"ator_Hugo_Carvana","Ator","Hugo Carvana"
"ator_Isadora_Ribeiro","Ator","Isadora Ribeiro"
"ator_Ivan_de_Almeida","Ator","Ivan de Almeida"
"ator_Jackson_Antunes","Ator","Jackson Antunes"
"ator_Jairo_Mattos","Ator","Jairo Mattos"
"ator_Janana_Lince","Ator","Janaína Lince"
"ator_Joana_Limaverde","Ator","Joana Limaverde"
"ator_Julia_Lemmertz","Ator","Julia Lemmertz"
"ator_Juliana_Baroni","Ator","Juliana Baroni"
"ator_Juliana_Knust","Ator","Juliana Knust"
"ator_Juliana_Paes","Ator","Juliana Paes"
"ator_Kacau_Gomes","Ator","Kacau Gomes"
"ator_Kadu_Moliterno","Ator","Kadu Moliterno"
"ator_Lavnia_Vlasak","Ator","Lavínia Vlasak"
"ator_Luiza_Valdetaro","Ator","Luiza Valdetaro"
"ator_Malu_Mader","Ator","Malu Mader"
"ator_Marcelo_Faria","Ator","Marcelo Faria"
"ator_Marcelo_Laham","Ator","Marcelo Laham"
"ator_Marcelo_Valle","Ator","Marcelo Valle"
"ator_Marcio_Garcia","Ator","Marcio Garcia"
"ator_Michelle_Valle","Ator","Michelle Valle"
"ator_Miguel_Rmulo","Ator","Miguel Rômulo"
"ator_Mileni_dos_Santos","Ator","Mileni dos Santos"
"ator_Murilo_Grossi","Ator","Murilo Grossi"
"ator_Nathalia_Timberg","Ator","Nathalia Timberg"
"ator_Nelson_Dantas","Ator","Nelson Dantas"
"ator_Nildo_Parente","Ator","Nildo Parente"
"ator_Nvea_Maria","Ator","Nívea Maria"
"ator_Osvaldo_Mil","Ator","Osvaldo Mil"
"ator_Otvio_Mller","Ator","Otávio Müller"
"ator_Otto_Junior","Ator","Otto Junior"
"ator_Paula_Pereira","Ator","Paula Pereira"
"ator_Paulo_Giardini","Ator","Paulo Giardini"
"ator_Paulo_Vilhena","Ator","Paulo Vilhena"
"ator_Rachel_Nunes","Ator","Rachel Nunes"
"ator_Renata_Sorrah","Ator","Renata Sorrah"
"ator_Roberto_Pirillo","Ator","Roberto Pirillo"
"ator_Roney_Villela","Ator","Roney Villela"
"ator_Srgio_Menezes","Ator","Sérgio Menezes"
"ator_Sheron_Menezes","Ator","Sheron Menezes"
"ator_Silvia_Pfeifer","Ator","Silvia Pfeifer"
"ator_Stella_Freitas","Ator","Stella Freitas"
"ator_Taumaturgo_Ferreira","Ator","Taumaturgo Ferreira"
"ator_Theo_Becker","Ator","Theo Becker"
"ator_Thiago_Lacerda","Ator","Thiago Lacerda"
"ator_Thiago_Tenrio","Ator","Thiago Tenório"
"ator_Vitia_Rocha","Ator","Viétia Rocha"
"ator_Vincius_Manne","Ator","Vinícius Manne"
"ator_Wellington_Lu","Ator","Wellington Luã"
"ator_Xando_Graa","Ator","Xando Graça"
"ator_Ana_Ariel","Ator","Ana Ariel"
"ator_Andr_de_Biase","Ator","André de Biase"
"ator_Angela_Martins","Ator","Angela Martins"
"ator_Angela_Tornatori","Ator","Angela Tornatori"
"ator_Carmen_Monegal","Ator","Carmen Monegal"
"ator_Castro_Gonzaga","Ator","Castro Gonzaga"
"ator_Cludio_Corazza","Ator","Cláudio Corazza"
"ator_Cristina_Mullins","Ator","Cristina Mullins"
"ator_Denise_Dumont","Ator","Denise Dumont"
"ator_Dnis_Derkian","Ator","Dênis Derkian"
"ator_Edson_Silva","Ator","Edson Silva"
"ator_Eduardo_Martini","Ator","Eduardo Martini"
"ator_Elizangela","Ator","Elizangela"
"ator_Felipe_Carone","Ator","Felipe Carone"
"ator_Germano_Filho","Ator","Germano Filho"
"ator_Gilberto_Martinho","Ator","Gilberto Martinho"
"ator_ris_Bruzzi","Ator","Íris Bruzzi"
"ator_ris_Nascimento","Ator","Íris Nascimento"
"ator_Joo_do_Reino","Ator","João do Reino"
"ator_Joo_Signorelli","Ator","João Signorelli"
"ator_Jorge_Luiz_da_Silva","Ator","Jorge Luiz da Silva"
"ator_Leonardo_Villar","Ator","Leonardo Villar"
"ator_Lus_Komanche","Ator","Luís Komanche"
"ator_Luiz_Fabiano","Ator","Luiz Fabiano"
"ator_Mrcia_Porto","Ator","Márcia Porto"
"ator_Maria_Alves","Ator","Maria Alves"
"ator_Maria_Lucia_Dahl","Ator","Maria Lucia Dahl"
"ator_Marino_Jardim","Ator","Marino Jardim"
"ator_Nelson_Xavier","Ator","Nelson Xavier"
"ator_Nelson_Freitas","Ator","Nelson Freitas"
"ator_Neuza_Amaral","Ator","Neuza Amaral"
"ator_Osmar_Prado","Ator","Osmar Prado"
"ator_Paulo_Castelli","Ator","Paulo Castelli"
"ator_Paulo_Figueiredo","Ator","Paulo Figueiredo"
"ator_Percy_Aires","Ator","Percy Aires"
"ator_Ruy_Resende","Ator","Ruy Resende"
"ator_Solange_Couto","Ator","Solange Couto"
"ator_Solange_Mascarenhas","Ator","Solange Mascarenhas"
"ator_Thas_de_Campos","Ator","Thaís de Campos"
"ator_Tony_Vermont","Ator","Tony Vermont"
"ator_Alexandre_Moreno","Ator","Alexandre Moreno"
"ator_Alexandre_Slaviero","Ator","Alexandre Slaviero"
"ator_Alice_Assef","Ator","Alice Assef"
"ator_Amanda_Azevedo","Ator","Amanda Azevedo"
"ator_Ana_Lcia_Torre","Ator","Ana Lúcia Torre"
"ator_Ary_Fontoura","Ator","Ary Fontoura"
"ator_Bete_Mendes","Ator","Bete Mendes"
"ator_Carina_Porto","Ator","Carina Porto"
"ator_Carmen_Vernica","Ator","Carmen Verônica"
"ator_Cassio_Pandolfi","Ator","Cassio Pandolfi"
"ator_Claudia_Paiva","Ator","Claudia Paiva"
"ator_Cristina_Mutarelli","Ator","Cristina Mutarelli"
"ator_Danieli_Haloten","Ator","Danieli Haloten"
"ator_David_Lucas","Ator","David Lucas"
"ator_Dener_Pacheco","Ator","Dener Pacheco"
"ator_Dhu_Moraes","Ator","Dhu Moraes"
"ator_Diego_Cristo","Ator","Diego Cristo"
"ator_Elizabeth_Savala","Ator","Elizabeth Savala"
"ator_Fbio_Lago","Ator","Fábio Lago"
"ator_Fernanda_Machado","Ator","Fernanda Machado"
"ator_Flvia_Alessandra","Ator","Flávia Alessandra"
"ator_Flavio_Bauraqui","Ator","Flavio Bauraqui"
"ator_Francisco_Fortes","Ator","Francisco Fortes"
"ator_Fulvio_Stefanini","Ator","Fulvio Stefanini"
"ator_Gabriel_Kaufmann","Ator","Gabriel Kaufmann"
"ator_Guilherme_Duarte","Ator","Guilherme Duarte"
"ator_Guilhermina_Guinle","Ator","Guilhermina Guinle"
"ator_Hilda_Rebello","Ator","Hilda Rebello"
"ator_Ingrid_Guimares","Ator","Ingrid Guimarães"
"ator_Isabelle_Drummond","Ator","Isabelle Drummond"
"ator_Jaime_Leibovitch","Ator","Jaime Leibovitch"
"ator_Joelson_Medeiros","Ator","Joelson Medeiros"
"ator_Julia_Lund","Ator","Julia Lund"
"ator_Julia_Ruiz","Ator","Julia Ruiz"
"ator_Julio_Rocha","Ator","Julio Rocha"
"ator_Kenya_Costta","Ator","Kenya Costta"
"ator_Kleber_Toledo","Ator","Kleber Toledo"
"ator_Ludoval_Campos","Ator","Ludoval Campos"
"ator_Marcelo_Barros","Ator","Marcelo Barros"
"ator_Marco_Antonio_Gimenez","Ator","Marco Antonio Gimenez"
"ator_Marco_Pigossi","Ator","Marco Pigossi"
"ator_Marcos_Breda","Ator","Marcos Breda"
"ator_Marcos_Pasquim","Ator","Marcos Pasquim"
"ator_Maria_Clara_Gueiros","Ator","Maria Clara Gueiros"
"ator_Maria_Zilda_Bethlem","Ator","Maria Zilda Bethlem"
"ator_Otaviano_Costa","Ator","Otaviano Costa"
"ator_Pedro_Garcia_Netto","Ator","Pedro Garcia Netto"
"ator_Rachel_Ripani","Ator","Rachel Ripani"
"ator_Rafael_Zulu","Ator","Rafael Zulu"
"ator_Renata_Castro_Barbosa","Ator","Renata Castro Barbosa"
"ator_Ricardo_Duque","Ator","Ricardo Duque"
"ator_Ricardo_Montoya","Ator","Ricardo Montoya"
"ator_Rodrigo_Andrade","Ator","Rodrigo Andrade"
"ator_Roney_Facchini","Ator","Roney Facchini"
"ator_Srgio_Marone","Ator","Sérgio Marone"
"ator_Sidney_Sampaio","Ator","Sidney Sampaio"
"ator_Snia_de_Paula","Ator","Sônia de Paula"
"ator_Sophie_Charlotte","Ator","Sophie Charlotte"
"ator_Suzana_Pires","Ator","Suzana Pires"
"ator_Thalma_de_Freitas","Ator","Thalma de Freitas"
"ator_Theodoro_Cochrane","Ator","Theodoro Cochrane"
"ator_Wagner_Santisteban","Ator","Wagner Santisteban"
"ator_Adalberto_Nunes","Ator","Adalberto Nunes"
"ator_Adilson_Magha","Ator","Adilson Magha"
"ator_Adriano_Garib","Ator","Adriano Garib"
"ator_Alcione","Ator","Alcione"
"ator_Alex_Nader","Ator","Alex Nader"
"ator_Alexandre_Barbalho","Ator","Alexandre Barbalho"
"ator_Alexandre_Liuzzi","Ator","Alexandre Liuzzi"
"ator_Allan_Souza_Lima","Ator","Allan Souza Lima"
"ator_Alonso_Gonalves","Ator","Alonso Gonçalves"
"ator_Amanda_Leonardo","Ator","Amanda Leonardo"
"ator_Amlia_Bittencourt","Ator","Amélia Bittencourt"
"ator_Ana_Furtado","Ator","Ana Furtado"
"ator_Ana_Paula_Bouzas","Ator","Ana Paula Bouzas"
"ator_Anderson_Mller","Ator","Anderson Müller"
"ator_Anderson_Oliveira","Ator","Anderson Oliveira"
